FIRST_NAME,LAST_NAME,CONTACT,DOB,USER_NAME,DEPARTMENT
siddharth,tambake,8668224007,1997-06-04,sid@gmail.com,developer
mahesh,changale,7770025435,mahi@gmail.com,developer,
ajay,salunke,9673858607,1996-01-01,ajay@gmail.com,developer
faisal,khan,8668224007,1996-01-01,khan@gmail.com,hr
jay,adam,8836004578,1995-01-25,jay@gmail.com,testing
pranay,gavali,9602457722,1997-09-28,pranay@gmail.com,
sadanand,baikar,8924662402,1996-01-23,sada@gmail.com,testing
nitin,bankar,7400667892,1996-07-29,nitin@gmail.com,testing
ajay,takli,9673858607,1994-05-21,ajayt@gmail.com,testing
jay,adam,8836004578,1995-01-25,jay@gmail.com,testing
ajay,salunke,9673858607,1996-01-01,ajay@gmail.com,developer
siddharth,tambake,8668224008,1997-06-03,sid@gmail.com,developer
mahesh,changale,7770025436,mahi@gmail.com,developer,
ajay,salunke,9673858608,1996-0100,ajay@gmail.com,developer
faisal,khan,8668224008,1996-0100,khan@gmail.com,hr
jay,adam,8836004579,1995-01-24,jay@gmail.com,testing
pranay,gavali,9602457723,1997-09-27,pranay@gmail.com,
sadanand,baikar,8924662403,1996-01-22,sada@gmail.com,testing
sham,ade,1997-09-27,sham@gamil.com,hr,
nitin,bankar,7400667893,1996-07-28,nitin@gmail.com,testing
ajay,takli,9673858608,1994-05-20,ajayt@gmail.com,testing
jay,adam,8836004579,1995-01-24,jay@gmail.com,testing
ajay,salunke,9673858608,1996-0100,ajay@gmail.com,developer
Gwyn,Etzel,4057759884,1970-05-02,gwynetzel@gmail.com,Bromide
